Date,Close
9/16/2016,79.42
9/19/2016,79.84
9/20/2016,79.95
9/21/2016,80.7
9/22/2016,80.14
9/23/2016,80.34
9/26/2016,79.41
9/27/2016,80.66
9/28/2016,81.65
9/29/2016,79.97
9/30/2016,81.65
10/3/2016,81.43
10/4/2016,82.59
10/5/2016,84.79
10/6/2016,85.01
10/7/2016,84.53
10/10/2016,84.94
10/11/2016,84.37
10/12/2016,84.49
10/13/2016,83.68
10/14/2016,84.43
10/17/2016,84.51
10/18/2016,84.37
10/19/2016,84.5
10/20/2016,83.92
10/21/2016,83.15
10/24/2016,83.54
10/25/2016,82.89
10/26/2016,83.9
10/27/2016,84.77
10/28/2016,84.5
10/31/2016,84.79
11/1/2016,84.18
11/2/2016,83.79
11/3/2016,86.67
11/4/2016,85.79
11/7/2016,88.82
11/8/2016,88.75
11/9/2016,93.51
11/10/2016,97.74
11/11/2016,97.93
11/14/2016,98.68
11/15/2016,98.73
11/16/2016,97.64
11/17/2016,99.16
11/18/2016,99.15
11/21/2016,100.57
11/22/2016,100.29
11/23/2016,100.64
11/25/2016,100.79
11/28/2016,99.4
11/29/2016,99.77
11/30/2016,100.6
12/1/2016,102.47
12/2/2016,101.73
12/5/2016,102.71
12/6/2016,103.64
12/7/2016,105.47
12/8/2016,106.57
12/9/2016,106.02
12/12/2016,104.52
12/13/2016,104.83
12/14/2016,103.99
12/15/2016,107.08
12/16/2016,105.77
12/19/2016,105.91
12/20/2016,107.1
12/21/2016,106.47
12/22/2016,105.65
12/23/2016,106.2
12/27/2016,106.52
12/28/2016,104.96
12/29/2016,103.92
12/30/2016,104.06
1/3/2017,104.86
1/4/2017,106.14
1/5/2017,104.55
1/6/2017,105.15
1/9/2017,104.74
1/10/2017,105.57
1/11/2017,106.49
1/12/2017,104.22
1/13/2017,105.23
1/17/2017,103.92
1/18/2017,105.59
1/19/2017,104.76
1/20/2017,105.59
1/23/2017,104.49
1/24/2017,105.69
1/25/2017,107.36
1/26/2017,107.34
1/27/2017,106.59
1/30/2017,105.57
1/31/2017,105.11
2/1/2017,105.56
2/2/2017,104.43
2/3/2017,106.33
2/6/2017,106.11
2/7/2017,106.59
2/8/2017,105.22
2/9/2017,108.39
2/10/2017,108.75
2/13/2017,109.8
2/14/2017,110.45
2/15/2017,111.79
2/16/2017,112.11
2/17/2017,111.11
2/21/2017,111.22
2/22/2017,110.5
2/23/2017,110.86
2/24/2017,109.96
2/27/2017,110.95
2/28/2017,110.54
3/1/2017,113.82
3/2/2017,111.8
3/3/2017,112.56
3/6/2017,111.77
